,id,ph_gender,car_model,replace_value,area_code,accident_type,days_to_expiry,fraud_prob,fraudulent,time
0,30288,0,C,4872,J,F,202,0.66,0,2020-10-30 20:02:50
1,30287,0,B,1661,C,T,108,0.68,0,2020-10-30 20:02:50
2,30286,0,E,2967,F,D,50,0.73,1,2020-10-30 20:02:50
3,30285,1,B,2204,D,D,30,0.63,0,2020-10-30 20:02:50
4,30284,0,B,4742,I,F,327,0.65,0,2020-10-30 20:02:50
5,30283,0,E,2417,D,T,150,0.78,1,2020-10-30 20:02:50
6,30282,1,C,2003,G,F,78,0.73,1,2020-10-30 20:02:50
7,30281,1,A,3861,D,D,167,0.55,0,2020-10-30 20:02:50
8,30280,0,D,1753,A,F,22,0.73,1,2020-10-30 20:02:50
9,30279,1,E,2463,I,F,143,0.75,1,2020-10-30 20:02:50
10,30278,1,D,2689,B,D,34,0.63,0,2020-10-30 20:02:50
11,30277,0,E,1521,F,D,227,0.65,0,2020-10-30 20:02:50
12,30276,0,D,3081,B,T,157,0.68,0,2020-10-30 20:02:50
13,30275,1,D,2788,I,F,124,0.65,0,2020-10-30 20:02:50
14,30274,0,A,1891,A,T,80,0.76,1,2020-10-30 20:02:50
15,30273,0,A,3757,J,F,66,0.74,1,2020-10-30 20:02:50
16,30272,0,B,4576,E,D,293,0.55,0,2020-10-30 20:02:50
17,30271,0,B,4563,A,T,69,0.76,1,2020-10-30 20:02:50
18,30270,1,D,2461,G,D,30,0.63,0,2020-10-30 20:02:50
19,30269,1,B,2997,I,D,66,0.63,0,2020-10-30 20:02:50
20,30268,0,B,2172,G,D,290,0.55,0,2020-10-30 20:02:50
21,30267,1,A,1606,G,T,364,0.68,0,2020-10-30 20:02:50
22,30266,0,E,1063,I,T,78,0.86,1,2020-10-30 20:02:50
23,30265,0,E,4316,D,F,289,0.75,1,2020-10-30 20:02:50
24,30264,0,B,3987,D,D,285,0.55,0,2020-10-30 20:02:50
25,30263,0,D,3003,E,T,330,0.68,0,2020-10-30 20:02:50
26,30262,0,E,1684,G,F,15,0.83,1,2020-10-30 20:02:50
27,30261,0,D,3491,J,T,28,0.77,1,2020-10-30 20:02:50
28,30260,1,A,2451,A,F,142,0.65,0,2020-10-30 20:02:50
29,30259,1,E,4067,H,D,224,0.69,0,2020-10-30 20:02:50
30,30258,1,C,1168,J,D,273,0.56,0,2020-10-30 20:02:50
31,30257,0,C,3106,G,D,2,0.63,0,2020-10-30 20:02:50
32,30256,0,E,4417,J,F,254,0.76,1,2020-10-30 20:02:50
33,30255,0,E,2320,H,T,312,0.82,1,2020-10-30 20:02:50
34,30254,0,B,1248,A,D,149,0.55,0,2020-10-30 20:02:50
35,30253,0,D,3282,J,T,159,0.69,0,2020-10-30 20:02:50
36,30252,0,D,4176,H,F,32,0.77,1,2020-10-30 20:02:50
37,30251,1,C,1472,I,D,105,0.55,0,2020-10-30 20:02:50
38,30250,0,E,1477,A,D,61,0.73,1,2020-10-30 20:02:50
39,30249,1,B,2408,B,F,111,0.65,0,2020-10-30 20:02:50
40,30248,1,A,2030,J,D,64,0.64,0,2020-10-30 20:02:50
41,30247,1,D,2195,J,T,151,0.69,0,2020-10-30 20:02:50
42,30246,0,E,1360,D,T,61,0.86,1,2020-10-30 20:02:50
43,30245,0,B,2240,A,D,276,0.55,0,2020-10-30 20:02:50
44,30244,1,A,2397,G,D,202,0.55,0,2020-10-30 20:02:50
45,30243,0,B,4397,B,T,279,0.68,0,2020-10-30 20:02:50
46,30242,0,D,2434,G,F,292,0.65,0,2020-10-30 20:02:50
47,30241,0,E,2364,B,F,296,0.75,1,2020-10-30 20:02:50
48,30240,1,E,3294,E,F,139,0.75,1,2020-10-30 20:02:50
49,30239,0,E,3380,A,D,359,0.65,0,2020-10-30 20:02:50
50,30238,1,D,4898,F,F,55,0.73,1,2020-10-30 20:02:50
51,30237,1,B,3092,H,T,35,0.8,1,2020-10-30 20:02:50
52,30236,0,D,3831,J,D,45,0.64,0,2020-10-30 20:02:50
53,30235,1,D,4941,G,D,114,0.55,0,2020-10-30 20:02:50
54,30234,1,A,2689,F,F,149,0.65,0,2020-10-30 20:02:50
