,id,ph_gender,car_model,replace_value,area_code,accident_type,days_to_expiry,fraud_prob,fraudulent,time
0,20273,1,B,0,G,T,0,0.76,1,16/08/2020 14:17
1,20272,0,D,0,H,F,1,0.69,1,16/08/2020 14:17
2,20271,0,A,0,B,T,1,0.68,1,16/08/2020 14:17
3,20270,1,C,0,A,D,1,0.55,0,16/08/2020 14:17
4,20269,0,E,1,D,F,1,0.75,1,16/08/2020 14:17
5,20268,1,D,0,G,T,1,0.68,1,16/08/2020 14:17
6,20267,0,D,0,H,D,1,0.59,0,16/08/2020 14:17
7,20266,1,E,0,E,D,1,0.65,1,16/08/2020 14:17
8,20265,0,C,0,G,T,0,0.76,1,16/08/2020 14:17
9,20264,0,D,0,B,F,1,0.65,1,16/08/2020 14:17
10,20263,1,A,0,H,F,1,0.69,1,16/08/2020 14:17
11,20262,1,D,0,F,T,1,0.68,1,16/08/2020 14:17
12,20261,0,B,0,F,F,1,0.65,1,16/08/2020 14:17
13,20260,1,E,0,I,T,1,0.78,1,16/08/2020 14:17
14,20259,0,B,0,G,T,1,0.68,1,16/08/2020 14:17
15,20258,1,E,0,J,T,1,0.79,1,16/08/2020 14:17
16,20257,0,E,0,E,D,1,0.65,1,16/08/2020 14:17
17,20256,0,B,0,D,D,0,0.63,1,16/08/2020 14:17
18,20255,0,B,0,A,T,1,0.68,1,16/08/2020 14:17
19,20254,1,C,0,F,F,1,0.65,1,16/08/2020 14:17
20,20253,0,C,0,I,D,1,0.55,0,16/08/2020 14:17
21,20252,0,D,0,I,D,1,0.55,0,16/08/2020 14:17
22,20251,0,B,0,J,T,1,0.69,1,16/08/2020 14:17
23,20250,0,D,0,C,D,0,0.63,1,16/08/2020 14:17
24,20249,0,C,0,B,T,1,0.68,1,16/08/2020 14:17
25,20248,0,E,0,A,F,1,0.75,1,16/08/2020 14:17
26,20247,0,B,0,C,F,1,0.65,1,16/08/2020 14:17
27,20246,0,C,0,E,F,1,0.65,1,16/08/2020 14:17
28,20245,1,A,0,G,D,1,0.55,0,16/08/2020 14:17
29,20244,1,D,0,B,T,1,0.68,1,16/08/2020 14:17
30,20243,0,E,0,F,F,0,0.83,1,16/08/2020 14:17
31,20242,0,E,0,J,F,1,0.76,1,16/08/2020 14:17
32,20241,0,B,0,A,F,1,0.65,1,16/08/2020 14:17
33,20240,1,B,0,D,F,1,0.65,1,16/08/2020 14:17
34,20239,0,D,0,A,T,1,0.68,1,16/08/2020 14:17
35,20238,0,C,0,I,D,0,0.63,1,16/08/2020 14:17
36,20237,1,B,0,B,T,1,0.68,1,16/08/2020 14:17
37,20236,1,A,0,I,T,1,0.68,1,16/08/2020 14:17
38,20235,0,B,0,A,F,1,0.65,1,16/08/2020 14:17
39,20234,1,E,0,I,T,1,0.78,1,16/08/2020 14:17
40,20233,0,A,0,H,T,1,0.72,1,16/08/2020 14:17
41,20232,0,E,0,G,F,1,0.75,1,16/08/2020 14:17
42,20231,1,E,0,A,D,0,0.73,1,16/08/2020 14:17
43,20230,0,E,0,F,D,1,0.65,1,16/08/2020 14:17
44,20229,0,B,0,G,T,0,0.76,1,16/08/2020 14:17
45,20228,1,E,0,E,F,1,0.75,1,16/08/2020 14:17
46,20227,0,D,0,D,F,1,0.65,1,16/08/2020 14:17
47,20226,0,C,1,G,D,1,0.55,0,16/08/2020 14:17
48,20225,0,B,1,G,T,1,0.68,1,16/08/2020 14:17
49,20224,0,E,0,J,D,1,0.66,1,16/08/2020 14:17
50,20223,0,D,0,F,D,1,0.55,0,16/08/2020 14:17
51,20222,0,B,0,G,F,0,0.73,1,16/08/2020 14:17
52,20221,1,D,0,C,D,0,0.63,1,16/08/2020 14:17
53,20220,0,E,0,B,T,1,0.78,1,16/08/2020 14:17
54,20219,1,E,0,H,D,1,0.69,1,16/08/2020 14:17
